,title,언론사,언론사 링크,기사 링크
0,서울,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
1,연합,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
2,연합뉴스,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
3,뉴스,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
4,정윤,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
5,정윤주,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
6,기자,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
7,현대,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
8,현대자동차,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
9,자동차,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
10,기아,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
11,기아자동차,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
12,기간,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
13,기간통신사업자,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
14,통신,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
15,사업자,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
16,이동,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
17,이동통신,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
18,재판매,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
19,등록,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
20,차량,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
21,차량제어,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
22,제어,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
23,인포,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
24,인포테,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
25,먼트,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
26,융합,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
27,융합서비스,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
28,서비스,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
29,출시,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
30,속도,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
31,과학,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
32,과학기술정보통신,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
33,기술,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
34,정보,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
35,10일,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
36,기아차가,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
37,차가,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
38,현대차,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
39,기아차,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
40,텔레콤,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
41,초연,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
42,초연결성,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
43,결성,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
44,기반,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
45,안전,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
46,안전보안,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
47,보안,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
48,일상,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
49,자리,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
50,관련,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
51,역량,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
52,강화,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
53,설명,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
54,국내,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
55,메르,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
56,데스,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
57,데스벤츠코리아,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
58,벤츠,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
59,코리아,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
60,르노,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
61,르노삼성,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
62,삼성,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
63,쌍용,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
64,쌍용차,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
65,테슬라,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
66,테슬라코리아,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
67,방식,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
68,회선,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
69,제공,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
70,아우,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
71,아우디폭스바겐,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
72,폭스바겐,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
73,해외,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
74,이통사,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
75,통사,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
76,로밍,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
77,과기,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
78,과기정통부,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
79,정통부,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
80,데이터,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
81,선구매제,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
82,구매제,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
83,다량,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
84,다량구매할인,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
85,구매,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
86,할인,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
87,확대,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
88,사업,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
89,영역,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
90,완성,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
91,완성차,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
92,분야,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
93,지원,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
94,계획,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
95,홍진,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
96,홍진배,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
97,통신정책관,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
98,정책,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
99,에너지,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
100,모니터링,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
101,다양,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
102,산업,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
103,확산,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
104,기대,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
105,사업모델,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
106,모델,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
107,창출,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
108,기존,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
109,음성,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
110,전화,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
111,중심,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
112,도매,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
113,지속,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
114,정비,연합뉴스,https://www.yna.co.kr/,http://yna.kr/AKR20200910080800017?did=1195m
115,이데일리,이데일리,http://www.edaily.co.kr/,http://www.edaily.co.kr/news/newspath.asp?newsid=01899126625898808
116,데일리,이데일리,http://www.edaily.co.kr/,http://www.edaily.co.kr/news/newspath.asp?newsid=01899126625898808
117,이승,이데일리,http://www.edaily.co.kr/,http://www.edaily.co.kr/news/newspath.asp?newsid=01899126625898808
118,기자,이데일리,http://www.edaily.co.kr/,http://www.edaily.co.kr/news/newspath.asp?newsid=01899126625898808
